"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1",NA,NA,NA,NA,NA,NA,NA
"ASV2","Bacteria","Bdellovibrionota","Oligoflexia","Silvanigrellales","Silvanigrellaceae",NA,NA
"ASV3","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS 17",NA,NA
"ASV4","Eukaryota",NA,NA,NA,NA,NA,NA
"ASV5","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter",NA
"ASV6","Eukaryota",NA,NA,NA,NA,NA,NA
"ASV7","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"ASV8","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",NA
"ASV9","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Limnobacter","thiooxidans"
"ASV10",NA,NA,NA,NA,NA,NA,NA
"ASV11","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"ASV12","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"ASV13","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"ASV14","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium",NA
"ASV15","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",NA
"ASV16","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella",NA
"ASV17","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus",NA
"ASV18","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella",NA
"ASV19",NA,NA,NA,NA,NA,NA,NA
"ASV20","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"ASV21","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","maltophilia"
"ASV22","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Sphaerotilus","natans"
"ASV23","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","seoulensis"
"ASV24",NA,NA,NA,NA,NA,NA,NA
"ASV25","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria",NA
"ASV26","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"ASV27","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax","saidenbachensis"
"ASV28",NA,NA,NA,NA,NA,NA,NA
"ASV29","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Undibacterium","pigrum"
"ASV30","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA
"ASV31","Eukaryota",NA,NA,NA,NA,NA,NA
"ASV32","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",NA
"ASV33","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ideonella",NA
"ASV34","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV35",NA,NA,NA,NA,NA,NA,NA
"ASV36","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans",NA
"ASV37","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Roseateles",NA
